,Emissions_from_unresovled_event
0,5.05462935344929
1,1.331787471712492
2,4.757765257227077
3,1.6453289836201128
4,22.697585086624567
5,245.30319391590814
6,1.5932588901583307
7,6.460608331520831
8,1.710582374320126
9,83.80192286471652
10,397.30278352628335
11,1.488309613874994
12,89.62604965841516
13,0.15817279905138074
14,22.567272816666666
15,240.0496376013887
16,0.0015742604166666594
17,7.97326213748888
18,1.673273450377767
19,2.277505280555554
20,1.2888208210319392
21,0.4127771666666667
22,17.489453903092738
23,0.006078222222222124
24,5.826891921231244
25,4.579572560688186
26,5.172926076735406
27,0.5584195014722215
28,1.494568006919441
29,0.7519610907131864
30,0.3924470583333312
31,0.15280411624305318
32,0.1795697596145826
33,31.067191589486104
34,0.2717772794999941
35,14.120995750694338
36,33.82314038858841
37,30.676728722055543
38,364.4830158194444
39,65.68821959413427
40,1.5628740117666613
41,8.21330884451944
42,2.325127067694437
43,5.502686372916652
44,66.47060709329416
45,1.9626901270833146
46,25.383167972849943
47,1.1490135552531227
48,13.088545497916357
49,445.9904008416665
50,0.5647696884874964
51,2.2213126239374734
52,37.216760648227954
53,1.420594363253469
54,3.0916490905249914
55,91.65347274956375
56,0.8457299850423596
57,2.5860149912388803
58,0.8888840453277718
59,3.2242667133291634
60,0.9207901945833195
61,131.0661617310309
62,164.48599211998297
63,4.078772696275689
64,3.689947948581927
65,1.1236575271145743
66,4.79087874166648
67,2.547375897979853
68,26.855127289756446
69,4.284326005323599
70,2.337043514014578
71,4.042218089905543
72,23.29817807568124
73,4.846876440690271
74,12.916012098350176
75,11.641149345833293
76,143.8520750278288
77,6.4367438333330025
78,0.427789230096527
79,0.08712616393194049
80,0.4787503419187471
81,2.05659664559721
82,3.6373567613437494
83,2.2623917171902614
84,0.21054168087499922
85,0.8022574773444399
86,7.270035979166662
87,0.5015887319444444
88,37.15808947013876
89,3.6169410208902644
90,0.3773372861111082
91,2.5169772895493003
92,5.320511155981812
93,5.912429011503468
94,16.45404980829444
95,0.37354675227776973
96,0.15954196319444044
97,0.020727105555553994
98,18.98679685905658
99,12.293535067361104
100,0.03996303335763533
101,3.0393721631944386
102,10.186942308100688
103,0.30276884812152205
104,0.5633128715277753
105,54.86998971149257
106,0.011110493055555535
107,0.08251061111110863
108,0.7319273968749951
109,5.8360569481638755
110,3.535729233427075
111,48.08674504037705
112,1.4036906727222178
113,2.9181621520830876
114,21.00834914339583
115,35.53639649166615
116,6.026595436972221
117,2.776002523235415
118,11.087150938194437
119,1.964348411156243
120,0.2067708623284657
121,26.090270244444053
122,5.493433477402775
123,0.09705035353818774
124,12.612782452083282
125,51.9470407052649
126,6.53585976062205
127,31.815985947915273
128,3910.661423443454
129,15.112836823340272
130,2.6903506302152724
131,6.0332040049458096
132,0.5081139573055512
133,20.728292675012295
134,33.40768944612014
135,100.43456558785944
136,8.274190193726383
137,0.7420678663784571
138,0.4875036849999978
139,7.28339734583332
140,62.50414642318995
141,0.0015280138888888446
142,22.864519356349998
143,0.07341202740094743
144,27.680284970965268
145,0.7279891312221443
146,49.854662323848984
147,189.66517215237803
148,2.7583360088701325
149,3.075012928159718
150,4.095232773611105
151,49.41300123749973
152,2.1355460178520804
153,4.374571967627773
154,1153.351103668622
155,2.4781730061111045
156,92.15196395966669
157,3.7625101826583185
158,11.548927086611101
159,1.4507174480797174
160,3.5097235799942275
161,0.38527490624999944
162,722.2686122060538
163,67.77253261943024
164,35.59237211319393
165,0.7613059985951239
166,254.19542243477036
167,0.308713781688175
168,322.8993532963449
169,7.1055817193444355
170,4.652649776305548
171,1.94496859986041
172,1.2548246375770744
173,0.21903008494305312
174,0.048323091725694385
175,34.21303771154927
176,6.359855810291502
177,0.21612992979166465
178,14.01820942007638
179,6.750213115736111
180,196.74519742222213
181,0.7789494527777774
182,1.178250310372219
183,1.1434193574347093
184,8.022765387368047
185,0.03953062948263399
186,1.981728272157635
187,3.0071050101622303
188,62.781491048651375
189,24.845471365804475
190,304.2103346456491
191,0.8058405617256926
192,6.839178689188883
193,525.5252937773053
194,14.971017360416665
195,2.0424203569444352
196,0.44034926944444225
197,8.120364650215267
198,2.5171932791666594
199,8196.505426971968
200,6.7604780305550545
201,2.1772699962958253
202,1.038524547163179
203,8.804261354452064
204,0.42991737062499524
205,1.928367956723601
206,0.9302593692520829
207,0.013437494999997267
208,0.1404819702187441
209,0.7215533032202999
210,3.3981026400291547
211,46.71958972921085
212,0.1542746888888852
213,18.033468221277353
214,1.0669485452437415
215,0.7635794813833282
216,3.272627180241656
217,0.0020604763888888893
218,196.9728170230297
219,120.04330065984165
220,0.12531917467915624
221,3.0562339759235977
222,1.6125469942097135
223,2.269690111811064
224,1.2047924361277713
225,65.13615964861106
226,4.88913464764722
227,0.010611428472222224
228,8.429533556944442
229,2.164554918055553
230,150.6981671292165
231,10.748924146426361
232,315.71816943320783
233,6.894208268597217
234,12.874352782565264
235,0.7494687670948964
236,0.2568332213124947
237,13.581447448852082
238,2.410035806224281
239,2.7564236687395747
240,549.6176891708333
241,1.1111979611111107
242,1.5238749696874891
243,0.1694378110944419
244,8.026897937206932
245,3.827402306238875
246,33.98035685832569
247,0.385987818965276
248,7.181619937444429
249,343.5220912126867
250,96.47183014305506
251,33.55786828949495
252,5.959725874013878
253,151.0829018118051
254,6.083877056336796
255,3.020117229232633
256,49.41046074716847
257,4.385051476709717
258,7.401238872017352
259,5.612275305431937
260,198.50006733632847
261,1.2389442458992028
262,0.9966705496416585
263,0.9058235895833245
264,0.5083133488472221
265,2.9062207680554377
266,0.28569686723263626
267,1.9941744921387254
268,1.4071115923608608
269,4.948847352638886
270,5.723269895149295
271,43.6277544226111
272,195.72575899654504
273,3.590262483494437
274,2.251363528612493
275,6.227689062863881
276,3.4885025128532727
277,1.1404593781604073
278,62.87936624991617
279,3.2426050915916456
280,11.259923143498467
281,1.8909108477117873
282,0.7250759361689106
283,0.26197759052634717
284,5.854420492621509
285,3.8057033315861086
286,0.25649614041665747
287,80.47011832258534
288,1.9916690140298565
289,50.06547794942333
290,0.5350290493054559
291,5.563244402777759
292,0.034541212499999974
293,4.527187243647211
294,8.461314988322908
295,0.07858454337498774
296,44.284942461805144
297,3.8799369819263827
298,3.904498601388884
299,1.1088643923236081
300,5.520217192005547
301,5.137440328169438
302,3.716600716010411
303,3.565948436111104
304,4.330834092638884
305,9.321980894317104
306,9.549068216945118
307,6.018305653819437
308,4.140472262001145
309,0.9407295115986007
310,51.788116602905276
311,0.21068147244513608
312,11.519210373990273
313,11.11437371227707
314,0.4490579958333263
315,335.0423054621597
316,6.337595086071412
317,354.3194793771418
318,6.667894044816663
319,0.9955766722117978
320,5.97918691591109
321,39.5661419296198
322,36.52085692152776
323,0.5341105791666666
324,10.550296192284714
325,9.025273841711792
326,5.152046307029855
327,3.187021159295819
328,4.442852834386798
329,7.39702668263887
330,12.053621841959021
331,0.9059133220437458
332,5.703600954727773
333,126.84362004485693
334,14.687216690760396
335,14.326480714511103
336,10.129092035785614
337,47.327900428472184
338,4.28020696487915
339,13.580762455515266
340,0.909371312440272
341,32.2684910254618
342,703.4021277823749
343,5.170662288003468
